date,firm,ticker,research_development,income_before_tax,net_income,selling_general_administrative,gross_profit,ebit,operating_income,interest_expense,income_tax_expense,total_revenue,total_operating_expenses,cost_of_revenue,total_other_income_expense_net,net_income_from_continuing_ops,net_income_applicable_to_common_shares,net_margin,operating_margin,tax_rate
2020-12-31,Air Products & Chemicals,APD,23500000.0,590300000.0,482000000.0,182100000.0,742800000.0,562500000.0,562500000.0,-36700000.0,113900000.0,2375200000.0,1812700000.0,1632400000.0,27800000.0,476400000.0,482000000.0,0.20293027955540585,0.23682216234422365,0.19295273589700151
2021-09-30,Akamai Technologies,AKAM,82899000.0,192564000.0,178916000.0,241463000.0,543467000.0,207146000.0,207146000.0,-18144000.0,13648000.0,860333000.0,653187000.0,316866000.0,-14582000.0,178916000.0,178916000.0,0.20796133590133123,0.24077421184587827,0.07087513761658462
2021-06-30,Akamai Technologies,AKAM,77255000.0,174506000.0,156497000.0,246049000.0,532824000.0,197460000.0,197460000.0,-18037000.0,18009000.0,852824000.0,655364000.0,320000000.0,-22954000.0,156497000.0,156497000.0,0.18350445109424687,0.23153663592957047,0.1031998899751298
2021-03-31,Akamai Technologies,AKAM,82045000.0,167593000.0,155695000.0,253005000.0,536021000.0,189544000.0,189544000.0,-17834000.0,11898000.0,842708000.0,653164000.0,306687000.0,-21951000.0,155695000.0,155695000.0,0.18475557369812556,0.22492251171224195,0.07099341857953495
2020-12-31,Akamai Technologies,AKAM,67228000.0,117528000.0,113370000.0,298739000.0,542440000.0,165579000.0,165579000.0,-17342000.0,4158000.0,846287000.0,680708000.0,303847000.0,-48051000.0,113370000.0,113370000.0,0.13396164658088805,0.19565348398356586,0.03537880334898918
2021-09-30,Alaska Air Group,ALB,13289000.0,-489103000.0,-392781000.0,95699000.0,249273000.0,140285000.0,140285000.0,-5136000.0,-114670000.0,830566000.0,690281000.0,581293000.0,-629388000.0,-374433000.0,-392781000.0,-0.47290763166322725,0.16890289272616504,0.23444959446169825
2021-06-30,Alaska Air Group,ALB,13976000.0,553193000.0,424600000.0,113393000.0,248417000.0,121048000.0,121048000.0,-5952000.0,106985000.0,773896000.0,652848000.0,525479000.0,432145000.0,446208000.0,424600000.0,0.5486525321231793,0.15641378169676545,0.19339543342016258
2021-03-31,Alaska Air Group,ALB,14636000.0,139805000.0,95677000.0,85589000.0,263687000.0,163462000.0,163462000.0,-16084000.0,22107000.0,829291000.0,665829000.0,565604000.0,-23657000.0,117698000.0,95677000.0,0.11537204672424999,0.1971105438259911,0.15812739172418727
2020-12-31,Alaska Air Group,ALB,15375000.0,92076000.0,84635000.0,115008000.0,266720000.0,136337000.0,136337000.0,-19152000.0,-10101000.0,879147000.0,742810000.0,612427000.0,-44261000.0,102177000.0,84635000.0,0.09626945209390465,0.1550787297232431,0.0
2021-09-30,Albemarle Corporation,ALK,0.0,245000000.0,194000000.0,49000000.0,562000000.0,257000000.0,257000000.0,-27000000.0,51000000.0,1953000000.0,1696000000.0,1391000000.0,-12000000.0,194000000.0,194000000.0,0.09933435739887353,0.13159242191500256,0.20816326530612245
